Apple Pascal 1.1 SYSTEM.ASSMBLER -- global data map

Global area: offsets 1..2177 (4354 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 122
Words accounted for by inferred objects: 2158 of 2177
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
        INITIALI.1, PRINTERR.1, PROCEND.7, SYMTBLDU.1, SYMTBLDU.3, TLA.10, TLA.2, TLA.20, TLA.21, TLA.9
  word   23  scalar     rd=14   wr=7    &=0   used by 4 procedures
        ASSEMBLE.1, ASSEMBLE.2, ASSEMBLE.4, INITIALI.1
  word   62  scalar     rd=4    wr=17   &=0   used by 12 procedures
        ASSEMBLE.10, ASSEMBLE.2, ASSEMBLE.4, INITIALI.4, TLA.16, TLA.17, TLA.28, TLA.32, TLA.33, TLA.34, TLA.35, TLA.7

Globals whose address is passed to a named runtime routine:

  word   73 -> OS.3 FINIT   (TLA.1@$281D)
  word   73 -> OS.6 FCLOSE   (TLA.1@$284E)
  word   73 -> OS.22 FWRITELN   (TLA.6@$03D7)
  word   73 -> OS.19 FWRITESTRING   (TLA.6@$03DE)
  word   73 -> OS.17 FWRITECHAR   (TLA.9@$054E)
  word   73 -> OS.13 FWRITEINT   (TLA.9@$0569)
  word   73 -> OS.20 FWRITEBYTES   (TLA.9@$0580)
  word   73 -> OS.5 FOPEN   (INITIALI.1@$0857)
  word  373 -> OS.3 FINIT   (TLA.1@$281F)
  word  390 -> OS.19 FWRITESTRING   (TLA.9@$05A0)
  word  406 -> OS.23 SCONCAT   (TLA.36@$257A)
  word  447 -> OS.19 FWRITESTRING   (TLA.9@$05C5)
  word  447 -> OS.22 FWRITELN   (SYMTBLDU.1@$0407)
  word  539 -> OS.20 FWRITEBYTES   (TLA.20@$000C)
  word  590 -> OS.5 FOPEN   (TLA.2@$018F)
  word 1095 -> OS.3 FINIT   (TLA.1@$2810)
  word 1095 -> OS.6 FCLOSE   (TLA.1@$2847)
  word 1095 -> OS.28 FBLOCKIO   (TLA.27@$0EFD)
  word 1095 -> OS.5 FOPEN   (TLA.33@$2058)
  word 1135 -> OS.3 FINIT   (TLA.1@$2806)
  word 1135 -> OS.6 FCLOSE   (TLA.1@$2840)
  word 1135 -> OS.5 FOPEN   (TLA.2@$018C)
  word 1135 -> OS.8 FPUT   (TLA.23@$0AD7)
  word 1395 -> OS.3 FINIT   (TLA.1@$2813)
  word 1435 -> OS.3 FINIT   (TLA.1@$2809)
  word 1608 -> OS.28 FBLOCKIO   (TLA.27@$0F00)
  word 2147 -> OS.20 FWRITEBYTES   (TLA.10@$0693)
  word 2159 -> OS.20 FWRITEBYTES   (TLA.9@$0582)
