Apple Pascal 1.1 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1224 (2448 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (PASCALCO, lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 133
Words accounted for by inferred objects: 1228 of 1224
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
        BODYPART.11, BODYPART.22, BODYPART.25, BODYPART.28, BODYPART.29, BODYPART.30, BODYPART.35, COMPINIT.2, COMPINIT.3, COMPINIT.8, PASCALCO.15, PASCALCO.18 ...
  word  131  aggregate  rd=0    wr=0    &=28  used by 18 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.25, COMPINIT.1, DECLARAT.15, DECLARAT.18, DECLARAT.19, DECLARAT.3, DECLARAT.4, PASCALCO.24, PASCALCO.5 ...
  word   23  aggregate  rd=11   wr=8    &=8   used by 9 procedures
        BODYPART.35, COMPOPTI.4, DECLARAT.15, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.18, PASCALCO.6, STATEMEN.1, STATEMEN.3
  word   96  scalar-byref rd=11   wr=13   &=1   used by 9 procedures
        BODYPART.13, COMPINIT.9, DECLARAT.11, DECLARAT.12, DECLARAT.19, PASCALCO.23, PASCALCO.24, UNITPART.1, UNITPART.3
  word  335  aggregate  rd=0    wr=0    &=23  used by 11 procedures
        BODY3.1, COMPINIT.1, COMPINIT.9, DECLARAT.12, DECLARAT.19, FINISHUP.1, PASCALCO.13, PASCALCO.23, PASCALCO.24, UNITPART.1, UNITPART.3
  word  183  aggregate  rd=0    wr=0    &=22  used by 7 procedures
        BODY3.1, BODY3.2, BODYPART.7, COMPINIT.9, DECLARAT.11, FINISHUP.1, UNITPART.1

Globals whose address is passed to a named runtime routine:

  word   17 -> OS.20 FWRITEBYTES   (DECLARAT.11@$0F6F)
  word  488 -> OS.5 FOPEN   (COMPOPTI.1@$03AB)
  word  535 -> OS.3 FINIT   (PASCALCO.1@$1107)
  word  535 -> OS.6 FCLOSE   (PASCALCO.1@$1137)
  word  535 -> OS.28 FBLOCKIO   (BODYPART.2@$019D)
  word  535 -> OS.4 FRESET   (UNITPART.1@$03B4)
  word  535 -> OS.5 FOPEN   (UNITPART.2@$0000)
  word  586 -> OS.3 FINIT   (PASCALCO.1@$10ED)
  word  586 -> OS.6 FCLOSE   (PASCALCO.1@$1129)
  word  586 -> OS.28 FBLOCKIO   (PASCALCO.3@$01CA)
  word  586 -> OS.5 FOPEN   (DECLARAT.12@$0E3D)
  word  626 -> OS.3 FINIT   (PASCALCO.1@$10FA)
  word  626 -> OS.6 FCLOSE   (PASCALCO.1@$1130)
  word  626 -> OS.28 FBLOCKIO   (PASCALCO.3@$01FD)
  word  626 -> OS.5 FOPEN   (COMPOPTI.1@$023D)
  word  666 -> OS.3 FINIT   (PASCALCO.1@$10E0)
  word  666 -> OS.6 FCLOSE   (PASCALCO.1@$1122)
  word  666 -> OS.13 FWRITEINT   (PASCALCO.4@$0283)
  word  666 -> OS.17 FWRITECHAR   (PASCALCO.4@$02A3)
  word  666 -> OS.20 FWRITEBYTES   (PASCALCO.4@$0317)
  word  666 -> OS.19 FWRITESTRING   (PASCALCO.4@$0332)
  word  666 -> OS.22 FWRITELN   (PASCALCO.4@$0359)
  word  666 -> OS.5 FOPEN   (COMPOPTI.1@$0287)
  word  835 -> OS.3 FINIT   (PASCALCO.1@$110A)
  word  886 -> OS.3 FINIT   (PASCALCO.1@$10F0)
  word  926 -> OS.3 FINIT   (PASCALCO.1@$10FD)
  word  966 -> OS.3 FINIT   (PASCALCO.1@$10E3)
  word  969 -> OS.28 FBLOCKIO   (PASCALCO.22@$0D46)
